Team,Games Played,Wins,Losses,Field Goal Persent,3Point Field Goal Persent,Offensive Rebounds,Defensive Rebounds,Assists,Turnovers,Steals,Blocks
Utah Jazz,72,52,20,46.8,38.9,10.6,37.6,23.7,14.2,6.6,5.2
Phoenix Suns,72,51,21,49.0,37.8,8.8,34.2,26.9,12.5,7.2,4.3
Philadelphia 76ers,72,49,23,47.6,37.4,10.0,35.0,23.7,14.4,9.1,6.2
Brooklyn Nets,72,48,24,49.4,39.2,8.9,35.5,26.8,13.5,6.7,5.3
Denver Nuggets,72,47,25,48.5,37.7,10.5,33.9,26.8,13.5,8.1,4.5
LA Clippers,72,47,25,48.2,41.1,9.4,34.7,24.4,13.2,7.1,4.1
Milwaukee Bucks,72,46,26,48.7,38.9,10.3,37.8,25.5,13.8,8.1,4.6
Dallas Mavericks,72,42,30,47.0,36.2,9.1,34.2,22.9,12.1,6.3,4.3
Los Angeles Lakers,72,42,30,47.2,35.4,9.7,34.6,24.7,15.2,7.8,5.4
Portland Trail Blazers,72,42,30,45.3,38.5,10.6,33.9,21.3,11.1,6.9,5.0
Atlanta Hawks,72,41,31,46.8,37.3,10.6,35.1,24.1,13.2,7.0,4.8
New York Knicks,72,41,31,45.6,39.2,9.7,35.5,21.4,12.9,7.0,5.1
Miami Heat,72,40,32,46.8,35.8,8.0,33.5,26.3,14.1,7.9,4.0
Golden State Warriors,72,39,33,46.8,37.6,8.0,35.1,27.7,15.0,8.2,4.8
Memphis Grizzlies,72,38,34,46.7,35.6,11.2,35.3,26.9,13.3,9.1,5.1
Boston Celtics,72,36,36,46.6,37.4,10.6,33.6,23.5,14.1,7.7,5.3
Indiana Pacers,72,34,38,47.4,36.4,9.0,33.7,27.4,13.5,8.5,6.4
Washington Wizards,72,34,38,47.5,35.1,9.7,35.5,25.5,14.4,7.3,4.1
Charlotte Hornets,72,33,39,45.5,36.9,10.6,33.2,26.8,14.8,7.8,4.8
San Antonio Spurs,72,33,39,46.2,35.0,9.3,34.6,24.4,11.4,7.0,5.1
Chicago Bulls,72,31,41,47.6,37.0,9.6,35.3,26.8,15.1,6.7,4.2
New Orleans Pelicans,72,31,41,47.7,34.8,11.7,35.7,26.0,14.6,7.6,4.4
Sacramento Kings,72,31,41,48.1,36.4,9.4,32.0,25.5,13.4,7.5,5.0
Toronto Raptors,72,27,45,44.8,36.8,9.4,32.1,24.1,13.2,8.6,5.4
Minnesota Timberwolves,72,23,49,44.8,34.9,10.5,33.0,25.6,14.3,8.8,5.5
Cleveland Cavaliers,72,22,50,45.0,33.6,10.4,32.3,23.8,15.5,7.8,4.5
Oklahoma City Thunder,72,22,50,44.1,33.9,9.9,35.7,22.1,16.1,7.0,4.4
Orlando Magic,72,21,51,42.9,34.3,10.4,35.1,21.8,12.8,6.9,4.4
Detroit Pistons,72,20,52,45.2,35.1,9.6,33.1,24.2,14.9,7.4,5.2
Houston Rockets,72,17,55,44.4,33.9,9.3,33.3,23.6,14.7,7.6,5.0
